group,order,x,y,NAME,CityType,Pop2010,Land_sqmi,oz_name
1,183,-117.6979694,33.87262535,Anaheim,City,336265,49.84000015,ANAHEIM
1,184,-117.6961136,33.87293053,Anaheim,City,336265,49.84000015,ANAHEIM
1,185,-117.691267,33.8730793,Anaheim,City,336265,49.84000015,ANAHEIM
1,186,-117.689888,33.8724575,Anaheim,City,336265,49.84000015,ANAHEIM
1,187,-117.6885719,33.87137032,Anaheim,City,336265,49.84000015,ANAHEIM
1,188,-117.6874104,33.87276268,Anaheim,City,336265,49.84000015,ANAHEIM
1,189,-117.6843376,33.87106514,Anaheim,City,336265,49.84000015,ANAHEIM
1,190,-117.6821404,33.86985207,Anaheim,City,336265,49.84000015,ANAHEIM
1,191,-117.6735077,33.86876488,Anaheim,City,336265,49.84000015,ANAHEIM
1,192,-117.6728821,33.86335564,Anaheim,City,336265,49.84000015,ANAHEIM
1,193,-117.6755066,33.86327553,Anaheim,City,336265,49.84000015,ANAHEIM
1,194,-117.6758976,33.86353493,Anaheim,City,336265,49.84000015,ANAHEIM
1,195,-117.6766472,33.86348534,Anaheim,City,336265,49.84000015,ANAHEIM
1,196,-117.6773338,33.86410332,Anaheim,City,336265,49.84000015,ANAHEIM
1,197,-117.6790886,33.8642025,Anaheim,City,336265,49.84000015,ANAHEIM
1,198,-117.6793613,33.86358833,Anaheim,City,336265,49.84000015,ANAHEIM
1,199,-117.6781979,33.86274147,Anaheim,City,336265,49.84000015,ANAHEIM
1,200,-117.6778908,33.86190987,Anaheim,City,336265,49.84000015,ANAHEIM
1,201,-117.6798134,33.86182594,Anaheim,City,336265,49.84000015,ANAHEIM
1,202,-117.6807938,33.86202812,Anaheim,City,336265,49.84000015,ANAHEIM
1,203,-117.6815624,33.86256981,Anaheim,City,336265,49.84000015,ANAHEIM
1,204,-117.6825562,33.86266899,Anaheim,City,336265,49.84000015,ANAHEIM
1,205,-117.6823673,33.86185646,Anaheim,City,336265,49.84000015,ANAHEIM
1,206,-117.6826973,33.86157036,Anaheim,City,336265,49.84000015,ANAHEIM
1,207,-117.6825638,33.86054802,Anaheim,City,336265,49.84000015,ANAHEIM
1,208,-117.6832561,33.86036873,Anaheim,City,336265,49.84000015,ANAHEIM
1,209,-117.6831684,33.86006355,Anaheim,City,336265,49.84000015,ANAHEIM
1,210,-117.681612,33.85992241,Anaheim,City,336265,49.84000015,ANAHEIM
1,211,-117.6795712,33.85873222,Anaheim,City,336265,49.84000015,ANAHEIM
1,212,-117.6808243,33.85749626,Anaheim,City,336265,49.84000015,ANAHEIM
1,213,-117.6825809,33.8582859,Anaheim,City,336265,49.84000015,ANAHEIM
1,214,-117.6833763,33.85740471,Anaheim,City,336265,49.84000015,ANAHEIM
1,215,-117.6844177,33.85785484,Anaheim,City,336265,49.84000015,ANAHEIM
1,216,-117.6835155,33.85886192,Anaheim,City,336265,49.84000015,ANAHEIM
1,217,-117.6837826,33.85931969,Anaheim,City,336265,49.84000015,ANAHEIM
1,218,-117.6849155,33.85998726,Anaheim,City,336265,49.84000015,ANAHEIM
1,219,-117.6849117,33.86068916,Anaheim,City,336265,49.84000015,ANAHEIM
1,220,-117.6856194,33.86071587,Anaheim,City,336265,49.84000015,ANAHEIM
1,221,-117.6858006,33.86096001,Anaheim,City,336265,49.84000015,ANAHEIM
1,222,-117.6853695,33.86162758,Anaheim,City,336265,49.84000015,ANAHEIM
1,223,-117.6854134,33.86252403,Anaheim,City,336265,49.84000015,ANAHEIM
1,224,-117.6867237,33.86240959,Anaheim,City,336265,49.84000015,ANAHEIM
1,225,-117.686657,33.86292839,Anaheim,City,336265,49.84000015,ANAHEIM
1,226,-117.6874294,33.86328697,Anaheim,City,336265,49.84000015,ANAHEIM
1,227,-117.6880741,33.86304665,Anaheim,City,336265,49.84000015,ANAHEIM
1,228,-117.6880627,33.86152458,Anaheim,City,336265,49.84000015,ANAHEIM
1,229,-117.6872559,33.86083412,Anaheim,City,336265,49.84000015,ANAHEIM
1,230,-117.6875877,33.86042976,Anaheim,City,336265,49.84000015,ANAHEIM
